name,three_from_monopoly,two_from_monopoly,one_from_monopoly,no_monopoly,one_building,two_building,three_building,four_building,five_building
Mediterranean Avenue,0.004229359304043332,0.004229359304043332,0.004229359304043332,0.004229359304043332,0.011496224439614828,0.024260502771632546,0.053968386952636276,0.07396975820278048,0.09181767156403148
Baltic Avenue,0.014276478009451397,0.008688515620725501,0.038477498253499755,0.008688515620725501,0.2656041088018195,0.3850983181426571,0.48370636092288677,0.2879477705515402,0.16976172858902172
Reading Railroad,0.21062332439678286,0.21062332439678286,0.21062332439678286,0.21062332439678286,0.0,0.0,0.0,0.0,0.0
Oriental Avenue,0.025202400894308453,0.015924932975871317,0.046093768552902536,0.015924932975871317,0.3313240208849431,0.5756861393883786,0.6557878507203933,0.6834123484399093,0.18247319034852547
Vermont Avenue,0.016330294906166224,0.016330294906166224,0.016330294906166224,0.016330294906166224,0.028351206434316354,0.06248837336543197,0.14352798257372654,0.1680071492403932,0.18711796246648796
Connecticut Avenue,0.022295038559560457,0.022295038559560457,0.022295038559560457,0.10394033395910099,0.0330669822386059,0.06183453216276925,0.1439650927395087,0.17244528537290174,0.18783611212462523
St. Charles Place,0.021567925476177124,0.011646827155296566,0.0540848505673712,0.025193137800703348,0.037682809942594674,0.37874970508164607,0.41415408718438224,0.536748716693847,0.13670692159906403
Electric Company,0.04487935656836461,0.04487935656836461,0.04487935656836461,0.04487935656836461,0.0,0.0,0.0,0.0,0.0
States Avenue,0.026616208471106732,0.012693732967008618,0.16757229462764817,0.03313599005318399,0.14806761493121964,0.18438069987703398,0.3365126935096858,0.7432548986465877,0.14899518421471025
Virginia Avenue,0.03854992977098192,0.016912886370662437,0.03151691904361705,0.034065073066649486,0.17256350926373748,0.25115929359565825,0.295223804620259,0.646733366431123,0.182025490113941
Pennsylvania Railroad,0.2500837801608579,0.2500837801608579,0.2500837801608579,0.2500837801608579,0.0,0.0,0.0,0.0,0.0
St. James Place,0.03142981215834973,0.022058269101876676,0.0339926885832991,0.0332628518447179,0.04627754675263741,0.6747057865340186,0.3407716789583133,0.9231070857140414,0.19949169414441925
Tennessee Avenue,0.020958654490616624,0.020958654490616624,0.020958654490616624,0.19930236455980288,0.039873777865620214,0.08288148093175136,0.17322828920581038,0.1855843077681519,0.18954694368856587
New York Avenue,0.035934217334373235,0.02692117962466488,0.03232881817852367,0.03459352195121792,0.028920168660442246,0.4922778336758687,0.7435438793654437,0.24708908704331922,0.21032171581769438
Kentucky Avenue,0.0376740011868765,0.01791510615463358,0.03178985888252367,0.049186083897110086,0.039849749586559846,0.38277169954749773,0.5108188213671723,0.27999664756585496,0.15862720597268617
Indiana Avenue,0.01685084242267515,0.01685084242267515,0.01685084242267515,0.160016106615489,0.0383514775610713,0.07613140347912857,0.159892940923018,0.15544183233138584,0.14920380759807114
Illinois Avenue,0.04623167611830263,0.019866509221202432,0.0759240285482658,0.03468870326027767,0.048951658445525,0.2936419031099162,0.3752752258926859,0.4416899291451133,0.1567968982722669
B. & O. Railroad,0.23274128686327078,0.23274128686327078,0.23274128686327078,0.23274128686327078,0.0,0.0,0.0,0.0,0.0
Atlantic Avenue,0.04461944945975739,0.02185733819144144,0.08058145129202696,0.03934242617370193,0.03648790110888617,0.6337992255291539,0.6990512574275958,0.5644285992826201,0.15588392361689313
Ventnor Avenue,0.04631078638985872,0.02308938021893396,0.13688760642159029,0.04457992045980008,0.06520706508947205,0.1795291354556517,0.25799303136261387,0.5359882033987673,0.16467070010469295
Water Works,0.05126005361930295,0.05126005361930295,0.05126005361930295,0.05126005361930295,0.0,0.0,0.0,0.0,0.0
Marvin Gardens,0.03907696531944976,0.024721829113500564,0.1275378763008379,0.055155591351848214,0.1302137400381743,0.2422314254159104,0.2784080302539625,0.7450105503955082,0.1611039250974763
Pacific Avenue,0.01907208817396485,0.01907208817396485,0.01907208817396485,0.01907208817396485,0.04255755212372322,0.09141060012373686,0.15844504021447722,0.1507695019341911,0.13990126473231196
North Carolina Avenue,0.06900251898146807,0.019420613643133747,0.06893259652696115,0.042061293442493146,0.08263074419684825,0.34631438985068297,0.5518240197222661,0.7690157229517064,0.14245783606752171
Pennsylvania Avenue,0.050435353726102944,0.01949755976423724,0.08948747400977353,0.0366481979609622,0.056987615053950585,0.21971454348373143,0.25624831309956436,0.6878157670267504,0.13989541443252904
Short Line,0.2138907506702413,0.2138907506702413,0.2138907506702413,0.11564980520202527,0.0,0.0,0.0,0.0,0.0
Park Place,0.04592248643510603,0.021670144742411978,0.5294256531617767,0.0392126811257447,0.07470611569348141,0.6495137040487088,0.836297280952592,0.9112200828922798,0.12595777083300283
Boardwalk,0.049619505058991376,0.032171581769437,0.05283886590458926,0.05530796325478949,0.08152539447131245,0.18430355044454738,0.31226379308994556,0.36481425192473343,0.160857908847185
