name,no_monopoly,one_from_monopoly,two_from_monopoly,three_from_monopoly,two_from_monopoly_me,one_from_monopoly_me,one_building,two_building,three_building,four_building,five_building
Mediterranean Avenue,0.0021501120382015153,0,0,0,0,0,0.006643060920497866,0.01536479527596413,0.03661846057499391,0.05296059640424596,0.06863366512249072
Baltic Avenue,0.0041674380597920115,0.01420707867731838,0,0.007706170550752693,0,0,0.012875861546618192,0.02978069583179746,0.07097544852540388,0.10265046713982116,0.11972580443220236
Reading Railroad,0.20501022494887522,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Oriental Avenue,0.0081131839238763,0.01689065495865371,0,0.38778910730990757,0,0,0.01552914110429448,0.03680981595092024,0.08944785276073619,0.1095168077878619,0.12653374233128833
Vermont Avenue,0.007762614248153249,0,0,0,0,0,0.014858128834355827,0.0352192683481027,0.08558282208588956,0.10478460004394195,0.12106623494660303
Connecticut Avenue,0.034375856595875116,0,0,0,0,0,0.019615208046408747,0.03915937867119175,0.09597233818564635,0.11981034277654097,0.13502039669822463
St. Charles Place,0.005640696894171779,0.024406702499944057,0.03846748809097896,0.027855981956672368,0,0.025048945646470883,0.01506854226137927,0.0350830516255582,0.08404685794588229,0.09536258485497512,0.09523930912201393
Electric Company,0.04515337423312883,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
States Avenue,0.00626278118609407,0.026146635253813992,0.037670938639035326,0.02567047212463499,0,0.033453228526688694,0.01673037653803696,0.038952186191449995,0.09331596619518036,0.10587964811655233,0.10574277691861772
Virginia Avenue,0.008094328674362139,0.01720992408435975,0.044697934096945446,0.025298851899152014,0,0.025677401372750156,0.019076185782505993,0.044693367663502404,0.09963112076800727,0.11440731333189187,0.12282704638795475
Pennsylvania Railroad,0.24130879345603276,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
St. James Place,0.011100261107691002,0.03336386531818395,0.04498325614397344,0.08699834957466226,0,0.050666858452841704,0.10902544545251194,0.3892359631118517,0.11664362752738508,0.13096770935898408,0.1389664841391392
Tennessee Avenue,0.4810332773302818,0,0,0,0,0,0.02345822426048948,0.052656374114823636,0.11676073960321577,0.13109920304307943,0.13910600872160822
New York Avenue,0.01330161512457744,0.030772550269443616,0.03077052603825231,0.055769226753545044,0,0.05821454204717707,0.1757078042256562,0.1691969262396803,0.1222085889570552,0.13466511179840795,0.1414451261077028
Kentucky Avenue,0.008761745541894034,0.026724510383542704,0.061080408457680264,0.03970606289501665,0,0.0637389659174379,0.15968940203597393,0.19778551944922784,0.10840555299306423,0.1108508240979425,0.11083133977245203
Indiana Avenue,0.4076478621296107,0,0,0,0,0,0.02123812523475648,0.045881993604478005,0.10276164895707958,0.10507961223429715,0.10506114231867997
Illinois Avenue,0.010285666355567824,0.04458049988963473,0.02995707017266696,0.03295246182120142,0,0.037341699589622565,0.024240587476656333,0.05679298266569781,0.11394338644626222,0.11526576252249865,0.11445823171201229
B. & O. Railroad,0.2367075664621677,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Atlantic Avenue,0.011042583940104513,0.025809348781664607,0.02916566671892303,0.031002140528433225,0,0.04216177843731836,0.0241482350109058,0.056804146082410426,0.11086461737892099,0.11111214987113985,0.1096683202986361
Ventnor Avenue,0.011157252516844953,0.03649449310038778,0.025997386549577717,0.03663277012533038,0,0.06370376989364612,0.0243989954990772,0.057394012604553846,0.11201585951162006,0.11226596243470308,0.11080713982406326
Water Works,0.05387866394001362,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Marvin Gardens,0.012849837532318607,0.08845042804243394,0.12721676639918297,0.053449022883173825,0,0.09186141877164183,0.02622474678491301,0.06192888929274614,0.11808359511891267,0.11739314256870696,0.11524850846898398
Pacific Avenue,0.00873997168475696,0,0,0,0,0,0.0218822994773915,0.05110917698006666,0.09442074673283142,0.09446832584431182,0.09128231296461664
North Carolina Avenue,0.008872109485606417,0.0625421556873435,0.03587696806085326,0.08232970267661999,0,0.03707824178890897,0.02221313337877755,0.051881885919290126,0.09584827422123275,0.09589657267133164,0.09266239113038836
Pennsylvania Avenue,0.009527511591092183,0.09442565587968584,0.026373265321435316,0.031102458810502293,0,0.26267799105764866,0.024057661913906497,0.05636440855113194,0.10051870313565099,0.09893702756477318,0.09638321308987988
Short Line,0.14929957012990966,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Park Place,0.010102922736415125,0.0685033135425916,0.04437562208311682,0.029826191469437498,0,0.03091055913262797,0.15977160967769066,0.11447133949795466,0.08696248431972832,0.08454246533526662,0.0816514704207828
Boardwalk,0.015650431951921874,0.06482067338859696,0.07126962108430221,0.030983538738330374,0,0.025462604966106268,0.28456172432832677,0.17690990333412332,0.10736196319018405,0.10774222988389193,0.10650988411724609
