name,value0,value1,value2,value3,value4,value5
Mediterranean Avenue,0.05131578947368422,0.06361461505002175,0.09020353618421054,0.1570891514500537,0.1821862348178138,0.2002437154280081
Baltic Avenue,0.14206146030638217,0.15031098575704285,0.18030874293407637,0.2686014232080299,0.2969160813665285,0.40664877594610876
Reading Railroad,0.20970394736842107,0.0,0.0,0.0,0.0,0.0
Oriental Avenue,0.015916769648806922,0.5532894736842106,0.5899259868421053,0.6726578947368421,0.6776315789473684,0.3588882921589689
Vermont Avenue,0.10421052631578949,0.11578947368421053,0.1953947368421053,0.3751578947368421,0.38596491228070173,0.38990332975295383
Connecticut Avenue,0.06972607905236214,0.11746494263340011,0.1753479773814702,0.34925276153346324,0.3729569284539474,0.37195801776171616
St. Charles Place,0.01713882519147706,0.15762061403508773,0.23561282097978511,0.4220585036972596,0.38918670132120425,0.33248098273026316
Electric Company,0.03894736842105263,0.0,0.0,0.0,0.0,0.0
States Avenue,0.007670545474739716,0.15933388157894737,0.2381738299034784,0.4266460961287516,0.3934169915529564,0.33609490645559215
Virginia Avenue,0.011653108646408167,0.1418950482715665,0.2220394736842106,0.37776091931151135,0.35684915413533835,0.3303066550674207
Pennsylvania Railroad,0.234375,0.0,0.0,0.0,0.0,0.0
St. James Place,0.017667077471792365,0.2927844967577594,0.336012535257749,0.42402690943006516,0.41017943978566207,0.36088884083044986
Tennessee Avenue,0.2753053620122626,0.17622180451127822,0.2733634640618166,0.4711485745614036,0.4400306652481382,0.4054930795847751
New York Avenue,0.016932489474093836,0.18584234177119363,0.23141525843786032,0.3275090084378603,0.3108423417711936,0.38265306122448983
Kentucky Avenue,0.024057443658390344,0.29528750340989396,0.33601787726145516,0.4328056925460614,0.3354539046767397,0.34029218944907175
Indiana Avenue,0.06290619727388008,0.21019953096766755,0.29561468389909684,0.49858718973865945,0.416076348664642,0.3568112277718422
Illinois Avenue,0.02000875668196301,0.5442701110916768,0.6041860395551761,0.6923619212621741,0.6497080632403811,0.36217437533227004
B. & O. Railroad,0.20970394736842107,0.0,0.0,0.0,0.0,0.0
Atlantic Avenue,0.03008319516489903,0.47279954979176675,0.5299356079858066,0.5154521178139616,0.47686974532319504,0.3237395456585784
Ventnor Avenue,0.020032285531991066,0.1743558032499452,0.28038147824919435,0.42284843232858976,0.3512522771910848,0.30037689803373246
Water Works,0.049473684210526316,0.0,0.0,0.0,0.0,0.0
Marvin Gardens,0.02243963987237926,0.21519455751330732,0.35484072845609865,0.528883665346515,0.4388796759460635,0.37505395121322016
Pacific Avenue,0.15394736842105264,0.18473684210526314,0.2827604726100966,0.39473684210526305,0.3229665071770334,0.26802398006851447
North Carolina Avenue,0.019479078516494566,0.18678947368421053,0.2859022556390977,0.3991228070175439,0.326555023923445,0.271002024291498
Pennsylvania Avenue,0.020429019542992234,0.21897383992525696,0.34265350877192985,0.46637150532285343,0.37761815252416764,0.31716688415253014
Short Line,0.04437278568156462,0.0,0.0,0.0,0.0,0.0
Park Place,0.02402293670684493,0.15300130491518052,0.23508771929824562,0.3223501968216941,0.2599741319271714,0.2176738141650422
Boardwalk,0.023049416362096738,0.21491228070175433,0.36266447368421056,0.541578947368421,0.45668859649122806,0.39473684210526316
