name,value0,value1,value2,value3,value4,value5
Mediterranean Avenue,0.05131578947368422,0.06361461505002175,0.09020353618421054,0.1570891514500537,0.1821862348178138,0.2002437154280081
Baltic Avenue,0.11578947368421053,0.1435406698564593,0.20353618421052633,0.3544575725026852,0.4110868888196824,0.40664877594610876
Reading Railroad,0.20970394736842107,0.0,0.0,0.0,0.0,0.0
Oriental Avenue,0.09592105263157896,0.10657894736842106,0.17985197368421055,0.34531578947368424,0.35526315789473684,0.3588882921589689
Vermont Avenue,0.10421052631578949,0.11578947368421053,0.1953947368421053,0.3751578947368421,0.38596491228070173,0.38990332975295383
Connecticut Avenue,0.1131578947368421,0.11746494263340011,0.1753479773814702,0.34925276153346324,0.3729569284539474,0.37195801776171616
St. Charles Place,0.12969924812030073,0.15762061403508773,0.23561282097978511,0.4220585036972596,0.38918670132120425,0.33248098273026316
Electric Company,0.03894736842105263,0.0,0.0,0.0,0.0,0.0
States Avenue,0.13110902255639098,0.15933388157894737,0.2381738299034784,0.4266460961287516,0.3934169915529564,0.33609490645559215
Virginia Avenue,0.11990131578947369,0.1418950482715665,0.2220394736842106,0.37776091931151135,0.35684915413533835,0.3303066550674207
Pennsylvania Railroad,0.234375,0.0,0.0,0.0,0.0,0.0
St. James Place,0.13662280701754387,0.1568374060150376,0.24329348301501674,0.41932223135964913,0.391627292070843,0.36088884083044986
Tennessee Avenue,0.1535087719298246,0.17622180451127822,0.2733634640618166,0.4711485745614036,0.4400306652481382,0.4054930795847751
New York Avenue,0.15,0.16666666666666663,0.2578125,0.45,0.4166666666666666,0.38265306122448983
Kentucky Avenue,0.16632775119617227,0.20046807120064594,0.2819288189037683,0.4755044494729808,0.3968135547449827,0.34029218944907175
Indiana Avenue,0.17440191387559806,0.21019953096766755,0.29561468389909684,0.49858718973865945,0.416076348664642,0.3568112277718422
Illinois Avenue,0.1792763157894737,0.21216132046091563,0.3319931773879143,0.5083449408019102,0.4230372247583244,0.36217437533227004
B. & O. Railroad,0.20970394736842107,0.0,0.0,0.0,0.0,0.0
Atlantic Avenue,0.1619939271255061,0.18791681016938538,0.3021889265574651,0.4557366437319245,0.37857189875039143,0.3237395456585784
Ventnor Avenue,0.15030364372469635,0.1743558032499452,0.28038147824919435,0.42284843232858976,0.3512522771910848,0.30037689803373246
Water Works,0.049473684210526316,0.0,0.0,0.0,0.0,0.0
Marvin Gardens,0.1894736842105263,0.21519455751330732,0.35484072845609865,0.528883665346515,0.4388796759460635,0.37505395121322016
Pacific Avenue,0.15394736842105264,0.18473684210526314,0.2827604726100966,0.39473684210526305,0.3229665071770334,0.26802398006851447
North Carolina Avenue,0.1556578947368421,0.18678947368421053,0.2859022556390977,0.3991228070175439,0.326555023923445,0.271002024291498
Pennsylvania Avenue,0.17269736842105265,0.21897383992525696,0.34265350877192985,0.46637150532285343,0.37761815252416764,0.31716688415253014
Short Line,0.20970394736842107,0.0,0.0,0.0,0.0,0.0
Park Place,0.13223684210526315,0.15300130491518052,0.23508771929824562,0.3223501968216941,0.2599741319271714,0.2176738141650422
Boardwalk,0.2417763157894737,0.21491228070175433,0.36266447368421056,0.541578947368421,0.45668859649122806,0.39473684210526316
