name,value
Mediterranean Avenue 0,83.688727229272
Baltic Avenue 0,153.15514697760244
Reading Railroad 0,47.79066791776849
Oriental Avenue 0,276.672231632566
Vermont Avenue 0,277.9360998003227
Connecticut Avenue 0,353.4957679801151
St. Charles Place 0,305.40923824959486
Electric Company 0,7.349654525292162
States Avenue 0,317.52484432312554
Virginia Avenue 0,413.97142480482916
Pennsylvania Railroad 0,54.3163012880662
St. James Place 0,535.1422578755977
Tennessee Avenue 0,541.1179058333221
New York Avenue 0,652.5111110724254
Kentucky Avenue 0,529.3321525840031
Indiana Avenue 0,491.460526535641
Illinois Avenue 0,588.4403066011871
B. & O. Railroad 0,53.658254225515165
Atlantic Avenue 0,633.6671066114668
Ventnor Avenue 0,624.2513870085295
Water Works 0,8.5677727544144
Marvin Gardens 0,677.3838500201662
Pacific Avenue 0,610.9713880762248
North Carolina Avenue 0,618.7160958124023
Pennsylvania Avenue 0,650.9038176700038
Short Line 0,46.986388174650564
Park Place 0,650.4307771048366
Boardwalk 0,1020.4952065275484
Mediterranean Avenue 1,69.74060602439336
Baltic Avenue 1,127.62928914800202
Reading Railroad 1,0.0
Oriental Avenue 1,138.336115816283
Vermont Avenue 1,138.96804990016136
Connecticut Avenue 1,147.28990332504793
St. Charles Place 1,218.14945589256774
Electric Company 1,0.0
States Avenue 1,226.80346023080395
Virginia Avenue 1,258.73214050301823
Pennsylvania Railroad 1,0.0
St. James Place 1,297.30125437533206
Tennessee Avenue 1,300.62105879629
New York Avenue 1,326.2555555362127
Kentucky Avenue 1,360.90828585272936
Indiana Avenue 1,335.0867226379371
Illinois Avenue 1,367.7751916257418
B. & O. Railroad 1,0.0
Atlantic Avenue 1,365.5771768912308
Ventnor Avenue 1,360.1450309664593
Water Works 1,0.0
Marvin Gardens 1,362.8842053679462
Pacific Avenue 1,407.3142587174832
North Carolina Avenue 1,412.4773972082682
Pennsylvania Avenue 1,406.81488604375244
Short Line 1,0.0
Park Place 1,371.6747297741923
Boardwalk 1,510.2476032637742
Mediterranean Avenue 2,69.74060602439336
Baltic Avenue 2,127.62928914800202
Reading Railroad 2,0.0
Oriental Avenue 2,138.336115816283
Vermont Avenue 2,138.96804990016136
Connecticut Avenue 2,147.28990332504793
St. Charles Place 2,218.14945589256774
Electric Company 2,0.0
States Avenue 2,226.80346023080395
Virginia Avenue 2,258.73214050301823
Pennsylvania Railroad 2,0.0
St. James Place 2,297.30125437533206
Tennessee Avenue 2,300.62105879629
New York Avenue 2,326.2555555362127
Kentucky Avenue 2,360.90828585272936
Indiana Avenue 2,335.0867226379371
Illinois Avenue 2,367.7751916257418
B. & O. Railroad 2,0.0
Atlantic Avenue 2,365.5771768912308
Ventnor Avenue 2,360.1450309664593
Water Works 2,0.0
Marvin Gardens 2,362.8842053679462
Pacific Avenue 2,407.3142587174832
North Carolina Avenue 2,412.4773972082682
Pennsylvania Avenue 2,406.81488604375244
Short Line 2,0.0
Park Place 2,371.6747297741923
Boardwalk 2,510.2476032637742
Mediterranean Avenue 3,69.74060602439336
Baltic Avenue 3,127.62928914800202
Reading Railroad 3,0.0
Oriental Avenue 3,138.336115816283
Vermont Avenue 3,138.96804990016136
Connecticut Avenue 3,147.28990332504793
St. Charles Place 3,218.14945589256774
Electric Company 3,0.0
States Avenue 3,226.80346023080395
Virginia Avenue 3,258.73214050301823
Pennsylvania Railroad 3,0.0
St. James Place 3,297.30125437533206
Tennessee Avenue 3,300.62105879629
New York Avenue 3,326.2555555362127
Kentucky Avenue 3,360.90828585272936
Indiana Avenue 3,335.0867226379371
Illinois Avenue 3,367.7751916257418
B. & O. Railroad 3,0.0
Atlantic Avenue 3,365.5771768912308
Ventnor Avenue 3,360.1450309664593
Water Works 3,0.0
Marvin Gardens 3,362.8842053679462
Pacific Avenue 3,407.3142587174832
North Carolina Avenue 3,412.4773972082682
Pennsylvania Avenue 3,406.81488604375244
Short Line 3,0.0
Park Place 3,371.6747297741923
Boardwalk 3,510.2476032637742
Mediterranean Avenue 4,69.74060602439336
