name,value0,value1,value2,value3,value4,value5
Mediterranean Avenue,80.43323992646934,67.02769993872445,67.02769993872445,67.02769993872445,67.02769993872445,67.02769993872445
Baltic Avenue,223.43333079644472,1064.2562389700931,1192.2394241769832,1241.964432236588,1240.4214139643502,1358.0144624628238
Reading Railroad,43.58435317966815,0.0,0.0,0.0,0.0,0.0
Oriental Avenue,443.77738131000325,2378.4539300772863,2573.0050151995924,2854.7033170022924,2926.9293898714345,2878.848789080912
Vermont Avenue,277.1443587570924,138.5721793785462,138.5721793785462,138.5721793785462,138.5721793785462,138.5721793785462
Connecticut Avenue,1400.165894900155,149.02506681168745,149.02506681168745,149.02506681168745,149.02506681168745,149.02506681168745
St. Charles Place,226.2866630811976,759.581808642447,809.0892405844768,1410.215141538257,1321.2764523445635,1450.773593618487
Electric Company,7.360912981455064,0.0,0.0,0.0,0.0,0.0
States Avenue,236.20777914229933,858.2823292790896,1346.9233793794851,1399.4081414161253,1311.642729627735,1414.5143818269828
Virginia Avenue,276.8094170891312,1004.75307224309,1427.258811048747,1430.5336265714402,1609.1588886131963,1576.7723046928181
Pennsylvania Railroad,52.537728057661994,0.0,0.0,0.0,0.0,0.0
St. James Place,691.7993695777951,1970.4519542579321,2018.0996875169826,2011.592710816783,2001.5192510107106,1934.1659653907966
Tennessee Avenue,10279.366178182225,302.40412855584464,302.40412855584464,302.40412855584464,302.40412855584464,302.40412855584464
New York Avenue,570.732121074044,2457.513368691464,2491.174748881075,2507.186718917697,2447.0192352078993,2380.38626700218
Kentucky Avenue,624.9600985969515,2720.8712507791324,2769.7186787453334,2824.2746618143183,2801.9383256783617,2785.049305570244
Indiana Avenue,1228.5353802149102,339.0300500873491,339.0300500873491,339.0300500873491,339.0300500873491,339.0300500873491
Illinois Avenue,1017.7102601644776,1527.4950782543278,1633.2074882125623,1661.3997762295246,1637.105966469938,1410.0525017065997
B. & O. Railroad,54.56490727532097,0.0,0.0,0.0,0.0,0.0
Atlantic Avenue,697.2431365721076,1574.1796354612943,1614.9379305020207,1930.8353231829956,1788.1150856877503,1739.8823088676065
Ventnor Avenue,1749.6698127419963,1341.2746623965836,1430.096593919474,1626.6402750271523,1505.2396090709626,1342.0527994850886
Water Works,8.64028830993318,0.0,0.0,0.0,0.0,0.0
Marvin Gardens,1577.8254625725583,2411.522188554086,2488.907543532855,2467.8964019718337,2214.0910450054735,1958.9303301834
Pacific Avenue,608.3876705920402,405.59178039469356,405.59178039469356,405.59178039469356,405.59178039469356,405.59178039469356
North Carolina Avenue,1310.010162408257,2167.7546345962196,2218.532424707587,2196.9469798636383,1936.9864588946446,1819.0152812887009
Pennsylvania Avenue,2205.514216304885,2912.774803861919,3003.940045667012,2849.596043278445,2635.1208475901103,2377.939039388716
Short Line,1299.6477546406,0.0,0.0,0.0,0.0,0.0
Park Place,389.1553178617857,989.8185389975982,983.8050412582749,906.3680069820166,890.110745363103,721.889182504972
Boardwalk,551.83696999738,830.2394164908261,828.3150408649108,802.3564864346906,741.9443758444083,655.295493531793
